Date,RGDP1,RGDP2,RFEDGOV2,RSLGOV2
1981.5,1507,1507,109.75,180.8999999762
1981.75,1508,1495,111,178
1982,1496,1485,113,178
1982.25,1483,1483.5,117,177
1982.5,1477,1483,111,175
1982.75,1481,1485,118,175
1983,1472,1485,121,175
1983.25,1489,1506,118,175
1983.5,1521,1547,120.5999999642,174.2999999523
1983.75,1554,1575,120,178
1984,1571,1590,118.5,177
1984.25,1604,1619,122,178
1984.5,1641,1660,126,180
1984.75,1650,1660,128.7999999523,182.8999999762
1985,1661,1678,130,183.1999999881
1985.25,1668,1680.5,131,183
1985.5,1671,1684,132,184
1985.75,1685,1698,138,187
1986,3605,3630,340,400.0999994278
1986.25,3621.5,3642,318.5,401
1986.5,3666,3687,328,415
1986.75,3683,3709,334,421
1987,3702,3725,345.6999998093,423
1987.25,3735,3756,335.5,427
1987.5,3796,3820,332.8499999046,439
1987.75,3831,3853,344,440
1988,3875,3882,341,444
1988.25,3906.5,3929,331.5,446
1988.5,3986,4013,333,454
1988.75,4007,4033,331.5,457.6999998093
1989,4029,4074,333,461
1989.25,4088,4103,334,467
1989.5,4124,4140,340,469
1989.75,4158,4169.5,339.6999998093,473
1990,4168,4181.5,336,476.0999994278
1990.25,4195.799987793,4213,334,483
1990.5,4163,4178,340.7999992371,478
1990.75,4174,4159.5499954224,347,479
1991,4147.5999908447,4128,355,480.2999992371
1991.25,4124,4122,347,481.5999994278
1991.5,4128,4156,348.3999996185,480
1991.75,4143.0999908447,4158.5999908447,340.3499999046,479
1992,4866.299987793,4873.6999969483,370.6809997559,552.2499995232
1992.25,4891.8999938965,4927,371.8999996185,558.5
1992.5,4890.5,4916.0879974365,374.6999998093,563.3999996185
1992.75,4924.5,4947.5499954224,374.1999998093,564
1993,4979.799987793,5016.5999984741,374.4044995308,564.3499994278
1993.25,5013.0999908447,5046.2999954224,363.7999992371,564.9499998093
1993.5,5019.5,5058.0499954224,353.7281455994,568
1993.75,5138,5182.3894958496,352.4329996109,587.0689992905
1994,5212.0999908447,5253.5029983521,348.4169998169,593.3649997711
1994.25,5259,5307,340.5,594
1994.5,5309.1999969483,5343.3779907227,337.0769996643,585.0839996338
1994.75,5359.1999969483,5401.5689849854,339.4299998283,591.0499997139
1995,5426.799987793,5467.0509948731,330.5999994278,595.7774991989
1995.25,5471.6999969483,5495.5999908447,326.0999994278,596.0284996033
1995.5,5477.299987793,5505.5659866333,323.7999992371,598.080499649
1995.75,5544.5999908447,5576.2099914551,324.5999994278,602
1996,6783.799987793,6805.7704925537,456.2984995842,798.2069997787
1996.25,6823.5999908447,6873,462.2549991608,796.4329996109
1996.5,6885.0999908447,6928.4499969483,469.3589997292,808.6949996948
1996.75,6929.6999969483,6965.7979888916,466.2099995613,810.3974995613
1997,7008.6999969483,7047.5999984741,465.9639997482,816
1997.25,7089.3999938965,7132.8994979858,457.6489992142,817.8999996185
1997.5,7139.6999969483,7185,459.6999998093,815.2189998627
1997.75,7221.799987793,7269.2499923706,458.2999997139,818.6209998131
1998,7290.299987793,7335.7499923706,458.4814996719,823.4679994583
1998.25,7356,7400.3999938965,448.1999998093,826.5999994278
1998.5,7491,7530,453.7,845.3875
1998.75,7559.5,7605.2999999998,452.25,851.8105
1999,7670,7726.889,461.2,856.3
1999.25,7762.5,7823.869,461.3,869
1999.5,7803.5999999999,7867.2,456.4,870
1999.75,8882.5999999996,8964.5,539.954,998.9315
2000,9026.8999999999,9097.3999999997,556.2,1014.7
2000.25,9156.5999999996,9251.2829999998,539.1,1035.8
2000.5,9308.7999999998,9386.8999999999,556.0835,1034.5825
2000.75,9382.1999999997,9457.4869999997,547.685,1031.95
2001,9401.5,9421.2999999998,553.1375,1044
2001.25,9439.8999999999,9469,561.1,1052.5
2001.5,9351.5999999996,9380,557.6,1076.324
2001.75,9333.3999999999,9287.8999999999,570,1074.2
2002,9315.5999999996,9348.5999999996,578.3,1091.0535
2002.25,9482.0999999996,9540.815,597.938,1108.85
2002.5,9387.8999999999,9443.7279999997,617.95,1099
2002.75,9465.1999999997,9496.5064999997,620.612,1101
2003,9503.1999999997,9554.3209999998,641.1,1108.875
2003.25,9556,9598.7149999999,648,1106.275
2003.5,9608.0999999996,9691.95,673.698,1102.6
2003.75,9797.1999999997,9893.7359999996,677,1109
2004,10597.0999999996,10713.0459999999,723.931,1203.04
2004.25,10708.5999999996,10827.0139999997,740.3965,1192.709
2004.5,10778,10870.6999999997,724.961,1232.978
2004.75,10883.3999999999,10982.7039999999,731,1232.081
2005,10975.6999999997,11076.2879999997,735.6065,1230.3
2005.25,11078.1999999997,11160.3679999998,733.14,1231.905
2005.5,11092,11206.676,737.997,1252.004
2005.75,11193.1999999997,11281.6899999999,754.472,1255.8475
2006,11233.5,11355,747.2795,1255.95
2006.25,11381.3999999999,11476.9323467459,766.67893,1255.50019
2006.5,11385.2999999998,11462.1507799998,743.2032062,1257.3555
2006.75,11432.8999999999,11503.2392599997,745,1268.4
2007,11541.5999999996,11614.9438565378,750.91775,1278.367249
2007.25,11549.0999999996,11617.7795382007,746.0915507,1285.58
2007.5,11507.8999999999,11579.1597514907,756,1270.2
2007.75,11630.6999999997,11675.16964,767.1951331492,1276.1009655
2008,11677.3999999999,11697,768.2941611877,1287.0975160466
2008.25,11693.0999999996,11699.0917038182,777.4475993,1284.0615815
2008.5,11700.5999999996,11734.1978599997,788.0640403171,1275
2008.75,11720,11633.0285999998,810.8,1281.325081
2009,11599.3999999999,11445.8999999999,827.6671753,1277.2
2009.25,11340.8999999999,11297.3179899999,825.83241105,1262.4559384394
2009.5,12892.3999999999,12970.2932182641,1038.0032882458,1544.5246450402
2009.75,13014,13100.9399999999,1052.2355345,1545.3499999991
2010,13155,13242.9603352787,1056.3060766267,1545.937185
2010.25,13254.6999999997,13363.2874649996,1059.7478021119,1521.4797485
2010.5,13216.5,13292.7891549997,1077.2667452971,1500.975
2010.75,13260.6999999997,13334.4790499997,1099.4756565,1498.25
2011,13382.5999999996,13501.1323599997,1096.6245540509,1498.4
2011.25,13438.7999999998,13546.4969200597,1075.977545,1477.4236988716
2011.5,13270.1,13343.54151,1060.8484049941,1448.2478792614
2011.75,13352.8,13438.6675679052,1064.2,1445.7271181079
2012,13422.4,13496.5123,1046.1229455,1437
2012.25,13502.4,13582.0976563803,1034.810331,1435.119666
2012.5,13558,13612.0422,1021.9443541128,1453.6133695
2012.75,13616.2,13676.7817988144,1040.929303,1459.1338955
2013,13647.6,13720,1004.3011105,1458.8089553979
2013.25,13750.1,13812.241035,972.3121656666,1450.4933829683
2013.5,15648.7,15734.7,1161.4040912418,1735.7
2013.75,15790.1,15862.6279712413,1150.590438,1743.37125
2014,15965.6,16044.9653247535,1130.3683060888,1748.9066025
